# Mapping file for sectoral emisisons to Hector global total emissions,,,
variable,sector,hector_variable,source
NH3,1A1bc_Other-transformation,NH3_emissions,CEDS
NH3,1A2a_Ind-Comb-Iron-steel,NH3_emissions,CEDS
NH3,1A2b_Ind-Comb-Non-ferrous-metals,NH3_emissions,CEDS
NH3,1A2c_Ind-Comb-Chemicals,NH3_emissions,CEDS
NH3,1A2d_Ind-Comb-Pulp-paper,NH3_emissions,CEDS
NH3,1A2e_Ind-Comb-Food-tobacco,NH3_emissions,CEDS
NH3,1A2f_Ind-Comb-Non-metalic-minerals,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-Construction,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-machinery,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-mining-quarying,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-other,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-textile-leather,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-transpequip,NH3_emissions,CEDS
NH3,1A2g_Ind-Comb-wood-products,NH3_emissions,CEDS
NH3,1A3ai_International-aviation,NH3_emissions,CEDS
NH3,1A3aii_Domestic-aviation,NH3_emissions,CEDS
NH3,1A3b_Road,NH3_emissions,CEDS
NH3,1A3c_Rail,NH3_emissions,CEDS
NH3,1A3di_International-shipping,NH3_emissions,CEDS
NH3,1A3di_Oil_Tanker_Loading,NH3_emissions,CEDS
NH3,1A3dii_Domestic-navigation,NH3_emissions,CEDS
NH3,1A3eii_Other-transp,NH3_emissions,CEDS
NH3,1A4a_Commercial-institutional,NH3_emissions,CEDS
NH3,1A4b_Residential,NH3_emissions,CEDS
NH3,1A4c_Agriculture-forestry-fishing,NH3_emissions,CEDS
NH3,1A5_Other-unspecified,NH3_emissions,CEDS
NH3,1B1_Fugitive-solid-fuels,NH3_emissions,CEDS
NH3,1B2_Fugitive-petr,NH3_emissions,CEDS
NH3,1B2b_Fugitive-NG-distr,NH3_emissions,CEDS
NH3,1B2b_Fugitive-NG-prod,NH3_emissions,CEDS
NH3,1B2d_Fugitive-other-energy,NH3_emissions,CEDS
NH3,2A1_Cement-production,NH3_emissions,CEDS
NH3,2A2_Lime-production,NH3_emissions,CEDS
NH3,2Ax_Other-minerals,NH3_emissions,CEDS
NH3,2B2_Chemicals-Nitric-acid,NH3_emissions,CEDS
NH3,2B3_Chemicals-Adipic-acid,NH3_emissions,CEDS
NH3,2B_Chemical-industry,NH3_emissions,CEDS
NH3,2C1_Iron-steel-alloy-prod,NH3_emissions,CEDS
NH3,2C3_Aluminum-production,NH3_emissions,CEDS
