; TODO add documenation
; commit 1a48da31925b0dd
; date Tue Nov 11 12:03:20 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
2065,2.25935,6e-4,0.00403285,0.260749655,5.1454,0.00285,123.41425,0,4995.8517,219.7035693491568,8.16075165,0.181703513,0.095548804,0.31976609,10.262198914768788,-0.217185404493132,0,0.059,0.2052,0.0391
2066,2.12384,5.2e-4,0.003584756,0.251079236,4.92656,0.00244,123.0687,0,4982.27388,219.7035693491568,7.71604998,0.16128895,0.079689672,0.317482046,10.262198914768788,-0.216624501365631,0,0.05442,0.19752,0.0374
2067,1.98833,4.4e-4,0.003136661,0.241408817,4.70772,0.00203,122.72315,0,4968.69606,219.7035693491568,7.27134831,0.140874386,0.063830541,0.315198002,10.262198914768788,-0.216044215502568,0,0.04984,0.18984,0.0357
2068,1.85282,3.6e-4,0.002688567,0.231738398,4.48888,0.00162,122.3776,0,4955.11824,219.7035693491568,6.82664664,0.120459823,0.04797141,0.312913958,10.262198914768788,-0.215444546903944,0,0.04526,0.18216,0.034
2069,1.71731,2.8e-4,0.002240472,0.222067979,4.27004,0.00121,122.03205,0,4941.54042,219.7035693491568,6.38194497,0.100045259,0.032112278,0.310629914,10.262198914768788,-0.214825495569759,0,0.04068,0.17448,0.0323
2070,1.5818,2e-4,0.001792378,0.21239756,4.0512,8e-4,121.6865,0,4927.9626,219.7035693491568,5.9372433,0.079630696,0.016253147,0.30834587,10.262198914768788,-0.214187061500012,0,0.0361,0.1668,0.0306
2071,1.50882,1.8e-4,0.00165795,0.205751345,3.90912,7.3e-4,121.05505,0,4903.14712,219.7035693491568,5.68298413,0.073907751,0.014775588,0.306884574,10.262198914768788,-0.213514392713277,0,0.03408,0.16155,0.02951
2072,1.43584,1.6e-4,0.001523521,0.19910513,3.76704,6.6e-4,120.4236,0,4878.33164,219.7035693491568,5.42872496,0.068184805,0.013298029,0.305423278,10.262198914768788,-0.212807489209554,0,0.03206,0.1563,0.02842
2073,1.36286,1.4e-4,0.001389093,0.192458915,3.62496,5.9e-4,119.79215,0,4853.51616,219.7035693491568,5.17446579,0.06246186,0.011820471,0.303961982,10.262198914768788,-0.212066350988842,0,0.03004,0.15105,0.02733
2074,1.28988,1.2e-4,0.001254665,0.1858127,3.48288,5.2e-4,119.1607,0,4828.70068,219.7035693491568,4.92020662,0.056738915,0.010342912,0.302500686,10.262198914768788,-0.211290978051143,0,0.02802,0.1458,0.02624
2075,1.2169,1e-4,0.001120236,0.179166485,3.3408,4.5e-4,118.52925,0,4803.8852,219.7035693491568,4.66594745,0.05101597,0.008865353,0.30103939,10.262198914768788,-0.210481370396455,0,0.026,0.14055,0.02515
2076,1.14392,8e-5,9.86e-4,0.17252027,3.19872,3.8e-4,117.8978,0,4779.06972,219.7035693491568,4.41168828,0.045293024,0.007387794,0.299578094,10.262198914768788,-0.209637528024779,0,0.02398,0.1353,0.02406
2077,1.07094,6e-5,8.51e-4,0.165874055,3.05664,3.1e-4,117.26635,0,4754.25424,219.7035693491568,4.15742911,0.039570079,0.005910235,0.298116798,10.262198914768788,-0.208759450936114,0,0.02196,0.13005,0.02297
2078,0.99796,4e-5,7.17e-4,0.15922784,2.91456,2.4e-4,116.6349,0,4729.43876,219.7035693491568,3.90316994,0.033847134,0.004432676,0.296655502,10.262198914768788,-0.207847139130462,0,0.01994,0.1248,0.02188
2079,0.92498,2e-5,5.83e-4,0.152581625,2.77248,1.7e-4,116.00345,0,4704.62328,219.7035693491568,3.64891077,0.028124188,0.002955118,0.295194206,10.262198914768788,-0.206900592607821,0,0.01792,0.11955,0.02079
2080,0.852,0,4.48e-4,0.14593541,2.6304,1e-4,115.372,0,4679.8078,219.7035693491568,3.3946516,0.022401243,0.001477559,0.29373291,10.262198914768788,-0.205919811368191,0,0.0159,0.1143,0.0197
2081,0.81269,0,4.26e-4,0.141363939,2.53814,9e-5,115.2556,0,4675.23754,219.7035693491568,3.24927085,0.020790643,0.00134622,0.293536433,10.262198914768788,-0.20491247017033,0,0.01501,0.1107,0.01899
2082,0.77338,0,4.03e-4,0.136792468,2.44588,8e-5,115.1392,0,4670.66728,219.7035693491568,3.1038901,0.019180042,0.001214882,0.293339956,10.262198914768788,-0.203878569014236,0,0.01412,0.1071,0.01828
2083,0.73407,0,3.81e-4,0.132220997,2.35362,7e-5,115.0228,0,4666.09702,219.7035693491568,2.95850935,0.017569442,0.001083543,0.293143479,10.262198914768788,-0.20281810789991,0,0.01323,0.1035,0.01757
2084,0.69476,0,3.58e-4,0.127649526,2.26136,6e-5,114.9064,0,4661.52676,219.7035693491568,2.8131286,0.015958842,9.52e-4,0.292947002,10.262198914768788,-0.201731086827351,0,0.01234,0.0999,0.01686
2085,0.65545,0,3.36e-4,0.123078055,2.1691,5e-5,114.79,0,4656.9565,219.7035693491568,2.66774785,0.014348241,8.21e-4,0.292750525,10.262198914768788,-0.20061750579656,0,0.01145,0.0963,0.01615
2086,0.61614,0,3.14e-4,0.118506584,2.07684,4e-5,114.6736,0,4652.38624,219.7035693491568,2.5223671,0.012737641,6.9e-4,0.292554048,10.262198914768788,-0.199477364807537,0,0.01056,0.0927,0.01544
2087,0.57683,0,2.91e-4,0.113935113,1.98458,3e-5,114.5572,0,4647.81598,219.7035693491568,2.37698635,0.011127041,5.58e-4,0.292357571,10.262198914768788,-0.198310663860281,0,0.00967,0.0891,0.01473
2088,0.53752,0,2.69e-4,0.109363642,1.89232,2e-5,114.4408,0,4643.24572,219.7035693491568,2.2316056,0.00951644,4.27e-4,0.292161094,10.262198914768788,-0.197117402954793,0,0.00878,0.0855,0.01402
2089,0.49821,0,2.46e-4,0.104792171,1.80006,1e-5,114.3244,0,4638.67546,219.7035693491568,2.08622485,0.00790584,2.96e-4,0.291964617,10.262198914768788,-0.195897582091072,0,0.00789,0.0819,0.01331
2090,0.4589,0,2.24e-4,0.1002207,1.7078,0,114.208,0,4634.1052,219.7035693491568,1.9408441,0.00629524,1.64e-4,0.29176814,10.262198914768788,-0.194651201269119,0,0.007,0.0783,0.0126
2091,0.43762,0,2.02e-4,0.097055836,1.64769,0.0012,114.15364,0,4631.96653,219.7035693491568,1.86679494,0.007758679,0.001050708,0.289520936,10.262198914768788,-0.193390878850916,0,0.0071,0.07583,0.01215
2092,0.41634,0,1.79e-4,0.093890972,1.58758,0.0024,114.09928,0,4629.82786,219.7035693491568,1.79274578,0.009222117,0.001937244,0.287273732,10.262198914768788,-0.192116614836463,0,0.0072,0.07336,0.0117
2093,0.39506,0,1.57e-4,0.090726108,1.52747,0.0036,114.04492,0,4627.68919,219.7035693491568,1.71869662,0.010685556,0.002823779,0.285026528,10.262198914768788,-0.190828409225759,0,0.0073,0.07089,0.01125
2094,0.37378,0,1.34e-4,0.087561244,1.46736,0.0048,113.99056,0,4625.55052,219.7035693491568,1.64464746,0.012148995,0.003710314,0.282779324,10.262198914768788,-0.189526262018805,0,0.0074,0.06842,0.0108
2095,0.3525,0,1.12e-4,0.08439637999999998,1.40725,0.006,113.9362,0,4623.41185,219.7035693491568,1.5705983,0.013612434,0.00459685,0.28053212,10.262198914768788,-0.1882101732156,0,0.0075,0.06595,0.01035
2096,0.33122,0,8.96e-5,0.081231515,1.34714,0.0072,113.88184,0,4621.27318,219.7035693491568,1.49654914,0.015075873,0.005483385,0.278284916,10.262198914768788,-0.186880142816145,0,0.0076,0.06348,0.0099
2097,0.30994,0,6.72e-5,0.078066651,1.28703,0.0084,113.82748,0,4619.13451,219.7035693491568,1.42249998,0.016539312,0.00636992,0.276037712,10.262198914768788,-0.18553617082044,0,0.0077,0.06101,0.00945
2098,0.28866000000000003,0,4.48e-5,0.074901787,1.22692,0.0096,113.77312,0,4616.99584,219.7035693491568,1.34845082,0.01800275,0.007256455,0.273790508,10.262198914768788,-0.184178257228485,0,0.0078,0.05854,0.009
2099,0.26738,0,2.24e-5,0.071736923,1.16681,0.0108,113.71876,0,4614.85717,219.7035693491568,1.27440166,0.019466189,0.008142991,0.271543304,10.262198914768788,-0.182806402040279,0,0.0079,0.05607,0.00855
2100,0.2461,0,0,0.068572059,1.1067,0.012,113.6644,0,4612.7185,219.7035693491568,1.2003525,0.020929628,0.009029526,0.2692961,10.262198914768788,-0.181420605255823,0,0.008,0.0536,0.0081
2101,0.244459333,0,0,0.068114912,1.099322,0.01192,112.9066373,0,4581.967043,219.7035693491568,1.19235015,0.020790097,0.008969329,0.267500793,10.262198914768788,-0.180062522289881,0,0.007946667,0.053242667,0.008046
2102,0.242818667,0,0,0.067657765,1.091944,0.01184,112.1488747,0,4551.215587,219.7035693491568,1.1843478,0.020650566,0.008909132,0.265705485,10.262198914768788,-0.178732153142454,0,0.007893333,0.052885333,0.007992
2103,0.241178,0,0,0.067200618,1.084566,0.01176,111.391112,0,4520.46413,219.7035693491568,1.17634545,0.020511035,0.008848935,0.263910178,10.262198914768788,-0.177429497813541,0,0.00784,0.052528,0.007938
2104,0.239537333,0,0,0.066743471,1.077188,0.01168,110.6333493,0,4489.712673,219.7035693491568,1.1683431,0.020371505,0.008788739,0.262114871,10.262198914768788,-0.176154556303142,0,0.007786667,0.052170667,0.007884
2105,0.237896667,0,0,0.066286324,1.06981,0.0116,109.8755867,0,4458.961217,219.7035693491568,1.16034075,0.020231974,0.008728542,0.260319563,10.262198914768788,-0.174907328611257,0,0.007733333,0.051813333,0.00783
2106,0.236256,0,0,0.065829177,1.062432,0.01152,109.117824,0,4428.20976,219.7035693491568,1.1523384,0.020092443,0.008668345,0.258524256,10.262198914768788,-0.173687814737887,0,0.00768,0.051456,0.007776
2107,0.234615333,0,0,0.06537203,1.055054,0.01144,108.3600613,0,4397.458303,219.7035693491568,1.14433605,0.019952912,0.008608148,0.256728949,10.262198914768788,-0.172496014683031,0,0.007626667,0.051098667,0.007722
2108,0.232974667,0,0,0.064914883,1.047676,0.01136,107.6022987,0,4366.706847,219.7035693491568,1.1363337,0.019813381,0.008547951,0.254933641,10.262198914768788,-0.171331928446689,0,0.007573333,0.050741333,0.007668
2109,0.231334,0,0,0.064457735,1.040298,0.01128,106.844536,0,4335.95539,219.7035693491568,1.12833135,0.01967385,0.008487754,0.253138334,10.262198914768788,-0.170195556028862,0,0.00752,0.050384,0.007614
2110,0.229693333,0,0,0.064000588,1.03292,0.0112,106.0867733,0,4305.203933,219.7035693491568,1.120329,0.019534319,0.008427558,0.251343027,10.262198914768788,-0.169086897429549,0,0.007466667,0.050026667,0.00756
2111,0.228052667,0,0,0.063543441,1.025542,0.01112,105.3290107,0,4274.452477,219.7035693491568,1.11232665,0.019394789,0.008367361,0.249547719,10.262198914768788,-0.16800595264875,0,0.007413333,0.049669333,0.007506
2112,0.226412,0,0,0.063086294,1.018164,0.01104,104.571248,0,4243.70102,219.7035693491568,1.1043243,0.019255258,0.008307164,0.247752412,10.262198914768788,-0.166952721686465,0,0.00736,0.049312,0.007452
2113,0.224771333,0,0,0.062629147,1.010786,0.01096,103.8134853,0,4212.949563,219.7035693491568,1.09632195,0.019115727,0.008246967,0.245957105,10.262198914768788,-0.165927204542695,0,0.007306667,0.048954667,0.007398
2114,0.223130667,0,0,0.062172,1.003408,0.01088,103.0557227,0,4182.198107,219.7035693491568,1.0883196,0.018976196,0.00818677,0.244161797,10.262198914768788,-0.164929401217439,0,0.007253333,0.048597333,0.007344
2115,0.22149,0,0,0.061714853,0.99603,0.0108,102.29796,0,4151.44665,219.7035693491568,1.08031725,0.018836665,0.008126573,0.24236649,10.262198914768788,-0.163959311710697,0,0.0072,0.04824,0.00729
2116,0.219849333,0,0,0.061257706,0.988652,0.01072,101.5401973,0,4120.695193,219.7035693491568,1.0723149,0.018697134,0.008066377,0.240571183,10.262198914768788,-0.16301693602247,0,0.007146667,0.047882667,0.007236
2117,0.218208667,0,0,0.060800559,0.981274,0.01064,100.7824347,0,4089.943737,219.7035693491568,1.06431255,0.018557603,0.00800618,0.238775875,10.262198914768788,-0.162102274152757,0,0.007093333,0.047525333,0.007182
2118,0.216568,0,0,0.060343412,0.973896,0.01056,100.024672,0,4059.19228,219.7035693491568,1.0563102,0.018418073,0.007945983,0.236980568,10.262198914768788,-0.161215326101558,0,0.00704,0.047168,0.007128
2119,0.214927333,0,0,0.059886265,0.966518,0.01048,99.26690933,0,4028.440823,219.7035693491568,1.04830785,0.018278542,0.007885786,0.235185261,10.262198914768788,-0.160356091868874,0,0.006986667,0.046810667,0.007074
2120,0.213286667,0,0,0.059429118,0.95914,0.0104,98.50914667,0,3997.689367,219.7035693491568,1.0403055,0.018139011,0.007825589,0.233389953,10.262198914768788,-0.159524571454703,0,0.006933333,0.046453333,0.00702
2121,0.211646,0,0,0.058971971,0.951762,0.01032,97.751384,0,3966.93791,219.7035693491568,1.03230315,0.017999480000000002,0.007765392,0.231594646,10.262198914768788,-0.158720775444922,0,0.00688,0.046096,0.006966
2122,0.210005333,0,0,0.058514824,0.944384,0.01024,96.99362133,0,3936.186453,219.7035693491568,1.0243008,0.017859949,0.007705196,0.229799339,10.262198914768788,-0.157944703839528,0,0.006826667,0.045738667,0.006912
2123,0.208364667,0,0,0.058057677,0.937006,0.01016,96.23585867,0,3905.434997,219.7035693491568,1.01629845,0.017720418,0.007644999,0.228004031,10.262198914768788,-0.157196356638523,0,0.006773333,0.045381333,0.006858
2124,0.206724,0,0,0.05760053,0.929628,0.01008,95.478096,0,3874.68354,219.7035693491568,1.0082961,0.017580888,0.007584802,0.226208724,10.262198914768788,-0.156475733841907,0,0.00672,0.045024,0.006804
2125,0.205083333,0,0,0.057143383,0.92225,0.01,94.72033333,0,3843.932083,219.7035693491568,1.00029375,0.017441357,0.007524605,0.224413417,10.262198914768788,-0.155782835449679,0,0.006666667,0.044666667,0.00675
2126,0.203442667,0,0,0.056686235,0.914872,0.00992,93.96257067,0,3813.180627,219.7035693491568,0.9922914,0.017301826,0.007464408,0.222618109,10.262198914768788,-0.155117661461839,0,0.006613333,0.044309333,0.006696
2127,0.201802,0,0,0.056229088000000003,0.907494,0.00984,93.204808,0,3782.42917,219.7035693491568,0.98428905,0.017162295,0.007404211,0.220822802,10.262198914768788,-0.154480211878388,0,0.00656,0.043952,0.006642
2128,0.200161333,0,0,0.055771941,0.900116,0.00976,92.44704533,0,3751.677713,219.7035693491568,0.9762867,0.017022764,0.007344014,0.219027495,10.262198914768788,-0.153870486699326,0,0.006506667,0.043594667,0.006588
2129,0.198520667,0,0,0.055314794,0.892738,0.00968,91.68928267,0,3720.926257,219.7035693491568,0.96828435,0.016883233,0.007283818,0.217232187,10.262198914768788,-0.153288485924651,0,0.006453333,0.043237333,0.006534
2130,0.19688,0,0,0.054857647,0.88536,0.0096,90.93152,0,3690.1748,219.7035693491568,0.960282,0.016743702,0.007223621,0.21543688,10.262198914768788,-0.152734209554366,0,0.0064,0.04288,0.00648
2131,0.195239333,0,0,0.0544005,0.877982,0.00952,90.17375733,0,3659.423343,219.7035693491568,0.95227965,0.016604172,0.007163424,0.213641573,10.262198914768788,-0.152207647002594,0,0.006346667,0.042522667,0.006426
2132,0.193598667,0,0,0.053943353,0.870604,0.00944,89.41599467,0,3628.671887,219.7035693491568,0.9442773,0.016464641,0.007103227,0.211846265,10.262198914768788,-0.151708798269337,0,0.006293333,0.042165333,0.006372
2133,0.191958,0,0,0.053486206,0.863226,0.00936,88.658232,0,3597.92043,219.7035693491568,0.93627495,0.01632511,0.00704303,0.210050958,10.262198914768788,-0.151237663354594,0,0.00624,0.041808,0.006318
