"scenario","year","variable","hector","units"
"old",1745,"gmst",-0.0874079859595159,"relative to 1951-1980"
"old",1746,"gmst",-0.0874079859595159,"relative to 1951-1980"
"old",1747,"gmst",-0.0874079859595159,"relative to 1951-1980"
"old",1748,"gmst",-0.0874079859595159,"relative to 1951-1980"
"old",1749,"gmst",-0.0874079859595159,"relative to 1951-1980"
"old",1750,"gmst",-0.0874079859595159,"relative to 1951-1980"
"old",1751,"gmst",-0.086766801064144,"relative to 1951-1980"
"old",1752,"gmst",-0.0857999568430418,"relative to 1951-1980"
"old",1753,"gmst",-0.085163982833489,"relative to 1951-1980"
"old",1754,"gmst",-0.085141498930176,"relative to 1951-1980"
"old",1755,"gmst",-0.0864554724599466,"relative to 1951-1980"
"old",1756,"gmst",-0.105024660565717,"relative to 1951-1980"
"old",1757,"gmst",-0.109256988334468,"relative to 1951-1980"
"old",1758,"gmst",-0.105220112592378,"relative to 1951-1980"
"old",1759,"gmst",-0.100334726224873,"relative to 1951-1980"
"old",1760,"gmst",-0.0967165927817958,"relative to 1951-1980"
"old",1761,"gmst",-0.0936201416540854,"relative to 1951-1980"
"old",1762,"gmst",-0.162904839467828,"relative to 1951-1980"
"old",1763,"gmst",-0.193356553598239,"relative to 1951-1980"
"old",1764,"gmst",-0.181026861620608,"relative to 1951-1980"
"old",1765,"gmst",-0.161731519659614,"relative to 1951-1980"
"old",1766,"gmst",-0.171482081772476,"relative to 1951-1980"
"old",1767,"gmst",-0.184501090611624,"relative to 1951-1980"
"old",1768,"gmst",-0.174527745917596,"relative to 1951-1980"
"old",1769,"gmst",-0.158402454169072,"relative to 1951-1980"
"old",1770,"gmst",-0.154857432985074,"relative to 1951-1980"
"old",1771,"gmst",-0.148131425761057,"relative to 1951-1980"
"old",1772,"gmst",-0.137710783869982,"relative to 1951-1980"
"old",1773,"gmst",-0.128309704565485,"relative to 1951-1980"
"old",1774,"gmst",-0.121767862994866,"relative to 1951-1980"
"old",1775,"gmst",-0.116004588327282,"relative to 1951-1980"
"old",1776,"gmst",-0.11113397580174,"relative to 1951-1980"
"old",1777,"gmst",-0.107478649839863,"relative to 1951-1980"
"old",1778,"gmst",-0.10471857391395,"relative to 1951-1980"
"old",1779,"gmst",-0.101984204507736,"relative to 1951-1980"
"old",1780,"gmst",-0.100237749050859,"relative to 1951-1980"
"old",1781,"gmst",-0.098207321392146,"relative to 1951-1980"
"old",1782,"gmst",-0.0963377210256335,"relative to 1951-1980"
"old",1783,"gmst",-0.236750368576138,"relative to 1951-1980"
"old",1784,"gmst",-0.491793441621999,"relative to 1951-1980"
"old",1785,"gmst",-0.509455412445178,"relative to 1951-1980"
"old",1786,"gmst",-0.450349299924981,"relative to 1951-1980"
"old",1787,"gmst",-0.382794251486742,"relative to 1951-1980"
"old",1788,"gmst",-0.325036576909604,"relative to 1951-1980"
"old",1789,"gmst",-0.280319998844264,"relative to 1951-1980"
"old",1790,"gmst",-0.247165948446897,"relative to 1951-1980"
"old",1791,"gmst",-0.221739663526351,"relative to 1951-1980"
"old",1792,"gmst",-0.20201971931316,"relative to 1951-1980"
"old",1793,"gmst",-0.186708721824182,"relative to 1951-1980"
"old",1794,"gmst",-0.175484127546304,"relative to 1951-1980"
"old",1795,"gmst",-0.165654602204848,"relative to 1951-1980"
"old",1796,"gmst",-0.167401895330636,"relative to 1951-1980"
"old",1797,"gmst",-0.176110202176533,"relative to 1951-1980"
"old",1798,"gmst",-0.173905854604496,"relative to 1951-1980"
"old",1799,"gmst",-0.164604835942563,"relative to 1951-1980"
"old",1800,"gmst",-0.155253678463249,"relative to 1951-1980"
"old",1801,"gmst",-0.146851437357816,"relative to 1951-1980"
"old",1802,"gmst",-0.140095866847964,"relative to 1951-1980"
"old",1803,"gmst",-0.134086222283848,"relative to 1951-1980"
"old",1804,"gmst",-0.128607598903041,"relative to 1951-1980"
"old",1805,"gmst",-0.124678993832798,"relative to 1951-1980"
"old",1806,"gmst",-0.120854764499787,"relative to 1951-1980"
"old",1807,"gmst",-0.117641199746638,"relative to 1951-1980"
"old",1808,"gmst",-0.115493494177812,"relative to 1951-1980"
"old",1809,"gmst",-0.394757214104378,"relative to 1951-1980"
"old",1810,"gmst",-0.523325817616697,"relative to 1951-1980"
"old",1811,"gmst",-0.482644214417215,"relative to 1951-1980"
"old",1812,"gmst",-0.406737960078077,"relative to 1951-1980"
"old",1813,"gmst",-0.341646772178329,"relative to 1951-1980"
"old",1814,"gmst",-0.293720852602351,"relative to 1951-1980"
"old",1815,"gmst",-0.536997258146578,"relative to 1951-1980"
"old",1816,"gmst",-0.801423326533473,"relative to 1951-1980"
"old",1817,"gmst",-0.769480720487494,"relative to 1951-1980"
"old",1818,"gmst",-0.652936250260826,"relative to 1951-1980"
"old",1819,"gmst",-0.544988749765445,"relative to 1951-1980"
"old",1820,"gmst",-0.462452817741752,"relative to 1951-1980"
"old",1821,"gmst",-0.409129003741721,"relative to 1951-1980"
"old",1822,"gmst",-0.370098662562527,"relative to 1951-1980"
"old",1823,"gmst",-0.366425184893744,"relative to 1951-1980"
"old",1824,"gmst",-0.343411804147479,"relative to 1951-1980"
"old",1825,"gmst",-0.313249764466381,"relative to 1951-1980"
"old",1826,"gmst",-0.285369034285324,"relative to 1951-1980"
"old",1827,"gmst",-0.262487422112719,"relative to 1951-1980"
"old",1828,"gmst",-0.244647016959444,"relative to 1951-1980"
"old",1829,"gmst",-0.229330631382046,"relative to 1951-1980"
"old",1830,"gmst",-0.216509236159869,"relative to 1951-1980"
"old",1831,"gmst",-0.397477739852925,"relative to 1951-1980"
"old",1832,"gmst",-0.474297228807737,"relative to 1951-1980"
"old",1833,"gmst",-0.438907248430529,"relative to 1951-1980"
"old",1834,"gmst",-0.381952034718572,"relative to 1951-1980"
"old",1835,"gmst",-0.473248994360994,"relative to 1951-1980"
"old",1836,"gmst",-0.49875018114281,"relative to 1951-1980"
"old",1837,"gmst",-0.450373620085234,"relative to 1951-1980"
"old",1838,"gmst",-0.391839479318852,"relative to 1951-1980"
"old",1839,"gmst",-0.342793096120007,"relative to 1951-1980"
"old",1840,"gmst",-0.305060271653261,"relative to 1951-1980"
"old",1841,"gmst",-0.275991304171716,"relative to 1951-1980"
"old",1842,"gmst",-0.25297296459657,"relative to 1951-1980"
"old",1843,"gmst",-0.233757056609957,"relative to 1951-1980"
"old",1844,"gmst",-0.217588040991146,"relative to 1951-1980"
"old",1845,"gmst",-0.204636484719264,"relative to 1951-1980"
"old",1846,"gmst",-0.20734652951617,"relative to 1951-1980"
"old",1847,"gmst",-0.203950318532194,"relative to 1951-1980"
"old",1848,"gmst",-0.193723700202887,"relative to 1951-1980"
"old",1849,"gmst",-0.182007846533824,"relative to 1951-1980"
"old",1850,"gmst",-0.171573835120016,"relative to 1951-1980"
"old",1851,"gmst",-0.161604436853054,"relative to 1951-1980"
"old",1852,"gmst",-0.152977563315967,"relative to 1951-1980"
"old",1853,"gmst",-0.158563122517354,"relative to 1951-1980"
"old",1854,"gmst",-0.165203677918291,"relative to 1951-1980"
"old",1855,"gmst",-0.157908273108425,"relative to 1951-1980"
"old",1856,"gmst",-0.150511550665183,"relative to 1951-1980"
"old",1857,"gmst",-0.157913186933919,"relative to 1951-1980"
"old",1858,"gmst",-0.152637379044156,"relative to 1951-1980"
"old",1859,"gmst",-0.142117706318445,"relative to 1951-1980"
"old",1860,"gmst",-0.132128470503987,"relative to 1951-1980"
"old",1861,"gmst",-0.128644650964107,"relative to 1951-1980"
"old",1862,"gmst",-0.184095104011869,"relative to 1951-1980"
"old",1863,"gmst",-0.19596676884122,"relative to 1951-1980"
"old",1864,"gmst",-0.178412843186333,"relative to 1951-1980"
"old",1865,"gmst",-0.15795701930989,"relative to 1951-1980"
"old",1866,"gmst",-0.140451135641769,"relative to 1951-1980"
"old",1867,"gmst",-0.127287329065305,"relative to 1951-1980"
"old",1868,"gmst",-0.117484221071728,"relative to 1951-1980"
"old",1869,"gmst",-0.108944004926512,"relative to 1951-1980"
"old",1870,"gmst",-0.102167585738335,"relative to 1951-1980"
"old",1871,"gmst",-0.0956064823818578,"relative to 1951-1980"
"old",1872,"gmst",-0.0896443628281328,"relative to 1951-1980"
"old",1873,"gmst",-0.101440199103257,"relative to 1951-1980"
"old",1874,"gmst",-0.100486858892069,"relative to 1951-1980"
"old",1875,"gmst",-0.0962316636062158,"relative to 1951-1980"
"old",1876,"gmst",-0.0920632249979491,"relative to 1951-1980"
"old",1877,"gmst",-0.0852794168837234,"relative to 1951-1980"
"old",1878,"gmst",-0.0784265495232113,"relative to 1951-1980"
"old",1879,"gmst",-0.0730663472028261,"relative to 1951-1980"
"old",1880,"gmst",-0.0716445367556948,"relative to 1951-1980"
"old",1881,"gmst",-0.0701383067270861,"relative to 1951-1980"
"old",1882,"gmst",-0.0650980563682958,"relative to 1951-1980"
"old",1883,"gmst",-0.100835591784177,"relative to 1951-1980"
"old",1884,"gmst",-0.245995856680699,"relative to 1951-1980"
"old",1885,"gmst",-0.261508920346939,"relative to 1951-1980"
"old",1886,"gmst",-0.223749028833296,"relative to 1951-1980"
"old",1887,"gmst",-0.194114153028035,"relative to 1951-1980"
"old",1888,"gmst",-0.163731300039154,"relative to 1951-1980"
"old",1889,"gmst",-0.137648564529329,"relative to 1951-1980"
"old",1890,"gmst",-0.128775235747358,"relative to 1951-1980"
"old",1891,"gmst",-0.135359794973409,"relative to 1951-1980"
"old",1892,"gmst",-0.125020458992924,"relative to 1951-1980"
"old",1893,"gmst",-0.107446612469094,"relative to 1951-1980"
"old",1894,"gmst",-0.094520963112959,"relative to 1951-1980"
"old",1895,"gmst",-0.0844814527428304,"relative to 1951-1980"
"old",1896,"gmst",-0.076155355077661,"relative to 1951-1980"
"old",1897,"gmst",-0.0697777616712001,"relative to 1951-1980"
"old",1898,"gmst",-0.0644600796425628,"relative to 1951-1980"
"old",1899,"gmst",-0.0611464276004407,"relative to 1951-1980"
"old",1900,"gmst",-0.0581981562935778,"relative to 1951-1980"
"old",1901,"gmst",-0.0550335456060045,"relative to 1951-1980"
"old",1902,"gmst",-0.0600875757842362,"relative to 1951-1980"
"old",1903,"gmst",-0.127376278125304,"relative to 1951-1980"
"old",1904,"gmst",-0.14307274296221,"relative to 1951-1980"
"old",1905,"gmst",-0.125744712774641,"relative to 1951-1980"
"old",1906,"gmst",-0.105957481300143,"relative to 1951-1980"
"old",1907,"gmst",-0.103627447359034,"relative to 1951-1980"
"old",1908,"gmst",-0.0962351709568211,"relative to 1951-1980"
"old",1909,"gmst",-0.0853137337541404,"relative to 1951-1980"
